#,Country_Other,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Tests,Population
206,Sierra Leone,"7751",126,,,"259958","8306436"
207,Chad,"7583",193,"4874","2516","191341","17413580"
208,British Virgin Islands,"7305",64,,,"107339","30596"
209,St. Vincent Grenadines,"7112",115,"6641",356,"100856","111551"
210,Saint Kitts and Nevis,"6541",46,"6482",13,"124861","53871"
211,Cook Islands,"6389",1,"6384",4,"19690","17571"
212,Turks and Caicos,"6380",36,"6321",23,"550093","39741"
213,Sao Tome and Principe,"6230",77,"6132",21,"29036","227679"
214,Palau,"5460",6,"5444",10,"64681","18233"
215,St. Barth,"5285",6,,,"78646","9945"
216,Nauru,"4611",1,"4605",5,"20509","10903"
217,Anguilla,"3865",12,"3848",5,"51382","15230"
218,Kiribati,"3430",13,"2703",714,,"123419"
219,Saint Pierre Miquelon,"3188",1,"2449",738,"24902","5759"
220,Falkland Islands,"1886",,"1886",0,"8632","3539"
221,Montserrat,"1396",8,"1353",35,"17579","4965"
222,Saint Helena,"1355",,2,"1353",,"6115"
223,Macao,79367870,"7850","667490"
224,Wallis and Futuna,7617438316,"20508","10982"
225,Diamond Princess,712136990,,
226,Niue,80,,800,,"1622"
227,Vatican City,29,,290,,799
228,Tuvalu,20,,,20,,"12066"
229,Western Sahara,10190,,"626161"
230,MS Zaandam,9270,,
